case_id,vehicle_id,intersection_id,intersection_name,movement_name,n_points,start_time_s,end_time_s,duration_s,path_length_m,displacement_m,mean_speed_mps,max_speed_mps,start_x_m,start_y_m,end_x_m,end_y_m
1671_2_0_2_22_NB_middle_->_I_EB,1671,2,I ST. & 22 ST.,22 NB middle -> I EB,167,3711.0,3727.6,16.59999999999991,27.85414453352667,25.137094530601754,1.6779605140678957,3.8620986158111164,183.31954449344133,57.81595301536017,168.74612338290626,37.33452438903092
1671_3_4_6_23_SB_middle_->_H_EB_right,1671,3,H ST. & 23 ST.,23 SB middle -> H EB right,75,3853.0,3860.4,7.400000000000091,26.425585241643613,24.578343476439695,3.5710250326544917,3.967926742186672,39.79652076149601,184.97107696492745,58.95467065841195,200.367838331304
1819_1_3_6_I_WB_->_23_SB_middle,1819,1,I ST. & 23 ST.,I WB -> 23 SB middle,60,4251.5,4257.4,5.899999999999636,30.24751410241161,28.547187783686958,5.126697305493876,6.256507739836741,64.4924363184515,35.45196398537535,41.46764768603365,52.32801325022309
1819_2_0_2_22_NB_middle_->_I_EB,1819,2,I ST. & 22 ST.,22 NB middle -> I EB,70,4154.3,4161.2,6.899999999999636,25.92797402347852,24.27381275709621,3.7576773947071933,5.230061160490427,181.116381515095,58.49560061549039,168.54756625865073,37.72921265764031
1819_2_0_3_22_NB_middle_->_I_WB,1819,2,I ST. & 22 ST.,22 NB middle -> I WB,70,4154.3,4161.2,6.899999999999636,25.92797402347852,24.27381275709621,3.7576773947071933,5.230061160490427,181.116381515095,58.49560061549039,168.54756625865073,37.72921265764031
1819_3_6_8_23_SB_middle_->_H_EB_right,1819,3,H ST. & 23 ST.,23 SB middle -> H EB right,101,4279.6,4289.6,10.0,29.047502448256967,26.16336648152835,2.9047502448256104,3.4824142371220903,38.31462026928459,184.95446833329328,59.00001782118835,200.97433330670847
1957_2_0_2_22_NB_middle_->_I_EB,1957,2,I ST. & 22 ST.,22 NB middle -> I EB,51,4604.1,4609.1,5.0,26.025267735466617,23.856897376823316,5.205053547093489,6.543230460374958,181.13522951279225,58.2901387792072,168.5669740978637,38.01230585077527
1957_3_4_6_23_SB_middle_->_H_EB_right,1957,3,H ST. & 23 ST.,23 SB middle -> H EB right,68,4736.9,4743.6,6.700000000000728,27.92216898192882,25.817187035657632,4.167487907750282,5.372566715346158,38.7063227164766,185.0712885962481,58.72513563695117,201.3738735351211
2068_1_3_6_I_WB_->_23_SB_middle,2068,1,I ST. & 23 ST.,I WB -> 23 SB middle,57,5131.6,5137.2,5.599999999999454,32.04580770595182,29.698371873922177,5.722465661777572,6.84545067169986,64.23173678594686,35.26702967133662,39.62782185141428,51.89954787682963
2068_2_0_2_22_NB_middle_->_I_EB,2068,2,I ST. & 22 ST.,22 NB middle -> I EB,57,5022.9,5028.5,5.600000000000364,26.50812987494364,24.125293746315275,4.733594620525218,6.667716630963689,180.916704707808,58.59711854368117,168.79538943629296,37.73798350805385
2068_2_0_3_22_NB_middle_->_I_WB,2068,2,I ST. & 22 ST.,22 NB middle -> I WB,57,5022.9,5028.5,5.600000000000364,26.50812987494364,24.125293746315275,4.733594620525218,6.667716630963689,180.916704707808,58.59711854368117,168.79538943629296,37.73798350805385
2068_3_6_8_23_SB_middle_->_H_EB_right,2068,3,H ST. & 23 ST.,23 SB middle -> H EB right,106,5161.0,5171.5,10.5,27.560838898834923,25.383147537424556,2.6248417998890416,3.9804084347072783,38.714160497697215,184.99515015010505,58.83411811868539,200.47066255636489
2231_2_0_2_22_NB_middle_->_I_EB,2231,2,I ST. & 22 ST.,22 NB middle -> I EB,58,5460.1,5465.8,5.699999999999818,25.86743326560839,24.293961344658552,4.538146186948914,4.810348794034106,182.9244829971548,57.87622928522345,168.6949911911337,38.18567010682167
2231_3_4_6_23_SB_middle_->_H_EB_right,2231,3,H ST. & 23 ST.,23 SB middle -> H EB right,68,5611.8,5618.5,6.699999999999818,28.255126108531158,25.70378119689778,4.217183001273386,5.068984590365595,38.72871637710693,185.18978838375023,59.06029409105163,200.91592317523103
2363_2_0_2_22_NB_middle_->_I_EB,2363,2,I ST. & 22 ST.,22 NB middle -> I EB,94,5907.6,5916.9,9.299999999999272,28.62012774897392,25.25723045062843,3.077433091287863,4.948197451905949,181.03053914934543,58.39072363820506,168.60840237002978,36.39940244387648
2363_3_4_6_23_SB_middle_->_H_EB_right,2363,3,H ST. & 23 ST.,23 SB middle -> H EB right,117,6062.6,6074.2,11.599999999999454,28.92060152006285,25.857021515787398,2.4931553034537886,4.984514665634131,38.35492885841917,184.98712575504584,58.7167380142148,200.92394757029024
2545_2_0_2_22_NB_middle_->_I_EB,2545,2,I ST. & 22 ST.,22 NB middle -> I EB,56,6339.2,6344.7,5.5,26.392877162743932,24.47151810460769,4.79870493868072,5.059152102278888,183.59535974687145,57.34699243899356,168.9681938508236,37.72809297460879
2545_3_5_7_23_SB_middle_->_H_EB_right,2545,3,H ST. & 23 ST.,23 SB middle -> H EB right,113,6488.9,6500.1,11.200000000000728,26.37954795806876,24.300018030764928,2.355316781970129,4.749081677697884,39.93386854669532,185.0740878038269,58.85054013648096,200.32696990065364
2703_1_2_5_I_WB_->_23_SB_middle,2703,1,I ST. & 23 ST.,I WB -> 23 SB middle,41,7002.6,7006.6,4.0,30.275340154223482,28.638480895572506,7.568835038555662,8.256722697988504,64.2550635157701,35.91196709748984,40.66259558637364,52.14643798527891
2703_2_0_2_22_NB_middle_->_I_WB,2703,2,I ST. & 22 ST.,22 NB middle -> I WB,68,6791.9,6798.6,6.700000000000728,25.4602021196125,23.285126281955687,3.8000301671059,4.986893029680604,181.48755644004257,58.45865107545036,168.94374743796885,38.8410579079357
2703_2_0_3_22_NB_middle_->_I_EB,2703,2,I ST. & 22 ST.,22 NB middle -> I EB,68,6791.9,6798.6,6.700000000000728,25.4602021196125,23.285126281955687,3.8000301671059,4.986893029680604,181.48755644004257,58.45865107545036,168.94374743796885,38.8410579079357
2703_3_5_7_23_SB_middle_->_H_EB_right,2703,3,H ST. & 23 ST.,23 SB middle -> H EB right,89,7032.3,7041.1,8.800000000000182,25.648449388172676,23.665377953122643,2.914596521383123,5.036942234510574,40.40133621235325,185.25696936564125,58.651049943032525,200.32342423772047
719_1_2_5_I_WB_->_23_SB_middle,719,1,I ST. & 23 ST.,I WB -> 23 SB middle,44,1072.2,1076.5,4.2999999999999545,31.48163616318576,29.375815386275637,7.321310735624668,7.763946022440241,64.01377182247842,35.35865706608235,39.97137792825109,52.23769215234746
719_2_0_2_22_NB_middle_->_I_WB,719,2,I ST. & 22 ST.,22 NB middle -> I WB,42,981.9,986.0,4.100000000000023,25.198419499421835,23.852238429661437,6.145955975468702,7.179631975497694,183.4811520776568,57.38338213751783,168.90306562115708,38.504593156965136
719_2_0_3_22_NB_middle_->_I_EB,719,2,I ST. & 22 ST.,22 NB middle -> I EB,42,981.9,986.0,4.100000000000023,25.198419499421835,23.852238429661437,6.145955975468702,7.179631975497694,183.4811520776568,57.38338213751783,168.90306562115708,38.504593156965136
719_3_5_7_23_SB_middle_->_H_EB_right,719,3,H ST. & 23 ST.,23 SB middle -> H EB right,102,1107.5,1117.6,10.099999999999909,30.5448521704611,26.342415727699702,3.024242789154604,4.356426019156803,38.25527706861424,185.006906821936,58.72625531998269,201.5858668557548
889_1_2_5_I_WB_->_23_SB_middle,889,1,I ST. & 23 ST.,I WB -> 23 SB middle,64,1614.7,1621.0,6.2999999999999545,32.014357441959916,29.364852141485184,5.081644038406354,6.204795918657259,64.5271464924285,35.51466623514025,40.20912395860967,51.9745666399412
889_2_0_2_22_NB_middle_->_I_WB,889,2,I ST. & 22 ST.,22 NB middle -> I WB,60,1498.3,1504.2,5.900000000000091,25.470676876921228,24.001042691031145,4.3170638774442205,5.641138796702788,184.2505609341469,57.48975202551185,168.9295647862363,39.01498200549784
889_2_0_3_22_NB_middle_->_I_EB,889,2,I ST. & 22 ST.,22 NB middle -> I EB,60,1498.3,1504.2,5.900000000000091,25.470676876921228,24.001042691031145,4.3170638774442205,5.641138796702788,184.2505609341469,57.48975202551185,168.9295647862363,39.01498200549784
889_3_5_7_23_SB_middle_->_H_EB_right,889,3,H ST. & 23 ST.,23 SB middle -> H EB right,66,1650.4,1656.9,6.5,27.77684850295519,25.294221080495266,4.273361308146895,5.800131625113533,38.24258732759039,185.0194099491212,58.59842484055128,200.0339861740736
